"ticker","alpha","beta","se_alpha","se_beta","t_alpha","p_alpha","r_squared","sigma2_eps","alpha_sig","beta_type"
"TEL.OL",0.002803441399036,0.147843352409485,0.00583860786297149,0.130841355125952,0.480155794811201,0.63241078017949,0.0174590327679476,0.00245450182002076,"Fail to reject H0 (α=0)","Defensive (β<1)"
"BIM.PA",0.00568377935029395,0.151984225771835,0.00826182628788959,0.300897001186809,0.687956772781024,0.49344544136029,0.00842635411924301,0.00542389867185346,"Fail to reject H0 (α=0)","Defensive (β<1)"
"JDEP.AS",-0.00299621480879311,0.246965625461952,0.00924853145682654,0.165949869179054,-0.323966547854637,0.7470035162395,0.0190875902051491,0.0050761532213542,"Fail to reject H0 (α=0)","Defensive (β<1)"
"KPN.AS",0.00607071426885485,0.273680112837152,0.00532705839634445,0.120596217906194,1.13959972224459,0.25781191094741,0.0693584794159549,0.00200538891220515,"Fail to reject H0 (α=0)","Defensive (β<1)"
"ORA.PA",0.00325608341248612,0.291459444936198,0.00513098854592321,0.129224999638475,0.634591830276686,0.527483011805022,0.0692829503554209,0.00227707235530492,"Fail to reject H0 (α=0)","Defensive (β<1)"
"AD.AS",0.00529548298157111,0.325157546110949,0.00489956434885352,0.0866488640162585,1.08080690537522,0.28299050639847,0.0987066548267525,0.00192635654489587,"Fail to reject H0 (α=0)","Defensive (β<1)"
"ARGX.BR",0.0217097842112923,0.326143744925009,0.0110900685651986,0.231261991623428,1.9575879160404,0.0537222252128873,0.0190323666230068,0.0109397968703454,"Fail to reject H0 (α=0)","Defensive (β<1)"
"UCB.BR",0.0119243100540916,0.345014199376133,0.00919714836585809,0.114498663646158,1.29652252847821,0.198477091127836,0.0401095576236616,0.00568430014061223,"Fail to reject H0 (α=0)","Defensive (β<1)"
"INW.MI",0.00217495834812163,0.374387354514933,0.00697853712389288,0.197777858733187,0.311663936081257,0.756096723962764,0.073849653009249,0.00350755625440328,"Fail to reject H0 (α=0)","Defensive (β<1)"
"JMT.LS",0.004986235993588,0.387359458499025,0.00643116294805385,0.208489138731091,0.775324157366731,0.440405827511403,0.0696087687787817,0.00400183569771193,"Fail to reject H0 (α=0)","Defensive (β<1)"
"WKL.AS",0.00402581303969337,0.404227866596431,0.00705840419219532,0.110292642186714,0.570357396668333,0.570014104533398,0.0775569703482716,0.00387793463472779,"Fail to reject H0 (α=0)","Defensive (β<1)"
"EQNR.OL",0.00356833330303974,0.450771390476001,0.0077510543227797,0.170330046149807,0.460367474467662,0.646486001678645,0.0815048525764508,0.00456914937706242,"Fail to reject H0 (α=0)","Defensive (β<1)"
"REC.MI",0.00350182940979824,0.469576952919252,0.00533598390549111,0.148432960996674,0.656266861336409,0.513512463853442,0.169953580907816,0.00214889341490172,"Fail to reject H0 (α=0)","Defensive (β<1)"
"TRN.MI",0.00606636707246062,0.475663220903642,0.00405816829383887,0.104902723624542,1.49485349872518,0.138838515751708,0.232982543810996,0.0014863130034719,"Fail to reject H0 (α=0)","Defensive (β<1)"
"KOG.OL",0.0280878015338332,0.480792432107565,0.00898096084956782,0.168895079834007,3.12748290570545,0.00244952262752191,0.0604021410072653,0.00717520311105279,"Reject H0 (α≠0)","Defensive (β<1)"
"EDP.LS",0.00274790651563342,0.523645963736328,0.0068031458413469,0.126024948214253,0.403917037752256,0.687338162531506,0.139044575033612,0.00338790642160486,"Fail to reject H0 (α=0)","Defensive (β<1)"
"RI.PA",-0.0100054346077886,0.53257553645179,0.00630421361314395,0.130556060223542,-1.58710272553706,0.116385651747084,0.152945651790772,0.00313448240337594,"Fail to reject H0 (α=0)","Defensive (β<1)"
"SAN.PA",0.00027170693643172,0.535716440143646,0.00560037671494017,0.104352789326886,0.0485158321058805,0.961424575159923,0.181221554151339,0.00258735348932232,"Fail to reject H0 (α=0)","Defensive (β<1)"
